country_name,country_code,indicator_name,indicator_code,value,year
Pakistan,PAK,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1075606764402.22,2016
Pakistan,PAK,"Population of the official age for post-secondary non-tertiary education, male (number)",UIS.SAP.4.M,6027107.0,2016
Papua New Guinea,PNG,Population growth (annual %),SP.POP.GROW,2.06402702332897,2016
Cabo Verde,CPV,"Population, ages 0-14 (% of total)",SP.POP.0014.TO.ZS,30.6562754837275,2016
Canada,CAN,PIRLS: Fourth grade students reaching the intermediate international benchmark in reading achievement (%),LO.PIRLS.REA.INT,83.0,2016
Canada,CAN,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,1220331.0,2016
Canada,CAN,"Population, ages 15-64, total",SP.POP.1564.TO,24477514.0,2016
South Asia,SAS,GDP per capita (current US$),NY.GDP.PCAP.CD,1637.51577449362,2016
American Samoa,ASM,Theoretical duration of primary education (years),SE.PRM.DURS,6.0,2016
Angola,AGO,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,6100.0,2016
Angola,AGO,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.0236287015016,2016
Armenia,ARM,Internet users (per 100 people),IT.NET.USER.P2,62.0,2016
Aruba,ABW,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,7340.0,2016
Comoros,COM,"Population, ages 0-14, total",SP.POP.0014.TO,318058.0,2016
India,IND,GDP at market prices (current US$),NY.GDP.MKTP.CD,2263792499341.01,2016
India,IND,"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,3.29999995231628,2016
Iraq,IRQ,"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,25.0,2016
St. Lucia,LCA,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,48.9694457084113,2016
Sudan,SDN,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.0346321540715,2016
Suriname,SUR,Official entrance age to lower secondary education (years),SE.SEC.AGES,12.0,2016
Tajikistan,TJK,"Gross graduation ratio from primary education, male (%)",SE.PRM.CMPL.MA.ZS,96.7946472167969,2016
Low income,LIC,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1037789080275.98,2016
Lower middle income,LMC,"Population, ages 0-14, male",SP.POP.0014.MA.IN,480788507.0,2016
Middle income,MIC,"Population, ages 0-14, total",SP.POP.0014.TO,1459772405.0,2016
Turkmenistan,TKM,"Population, ages 0-14, male",SP.POP.0014.MA.IN,884508.0,2016
Turks and Caicos Islands,TCA,Official entrance age to pre-primary education (years),UIS.THAGE.0,4.0,2016
Uzbekistan,UZB,"Rate of out-of-school adolescents of lower secondary school age, female (%)",UIS.ROFST.2.F,3.24918007850647,2016
Uzbekistan,UZB,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,8.80000019073486,2016
Vanuatu,VUT,"Population, ages 15-64, female",SP.POP.1564.FE.IN,80776.0,2016
Liberia,LBR,GDP at market prices (constant 2005 US$),NY.GDP.MKTP.KD,1627046587.60903,2016
Liberia,LBR,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,116773.0,2016
Liberia,LBR,SABER: (Tertiary Education) Policy Goal 4: Finance,SABER.TER.GOAL4,1.0,2017
Libya,LBY,"Population, ages 15-64, total",SP.POP.1564.TO,4230347.0,2016
Gabon,GAB,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,59.657255885232,2016
Georgia,GEO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10023.9506087952,2016
Mauritania,MRT,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,1296.00745761869,2016
Mauritania,MRT,SABER: (Engaging the Private Sector) Policy Goal 3 Lever 2: Voice,SABER.PRVT.GOAL3.LVL2,2.0,2016
Montenegro,MNE,"Population of the official age for post-secondary non-tertiary education, male (number)",UIS.SAP.4.M,8932.0,2016
Ethiopia,ETH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1737.83125999358,2016
Fiji,FJI,GDP at market prices (current US$),NY.GDP.MKTP.CD,4703632978.46947,2016
Fiji,FJI,SABER: (Education Management Information Systems) Policy Goal 4 Lever 1: Openness,SABER.EMIS.GOAL4.LVL1,1.0,2017
Virgin Islands (U.S.),VIR,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,52.3163152476455,2016
West Bank and Gaza,PSE,Official entrance age to pre-primary education (years),UIS.THAGE.0,4.0,2016
Zimbabwe,ZWE,Internet users (per 100 people),IT.NET.USER.P2,23.11998904,2016
Tajikistan,TJK,SABER: (Education Management Information Systems) Policy Goal 3 Lever 4: Periodicity and Timeliness,SABER.EMIS.GOAL3.LVL4,2.0,2017
Tajikistan,TJK,Theoretical duration of post-secondary non-tertiary education (years),UIS.THDUR.4.A.GPV,3.0,2016
Thailand,THA,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,5901.88412305308,2016
Kenya,KEN,"Population of the official age for primary education, male (number)",SP.PRM.TOTL.MA.IN,3858153.0,2016
Kosovo,XKX,"Population, total",SP.POP.TOTL,1816200.0,2016
Madagascar,MDG,"Population of the official entrance age to secondary general education, male (number)",UIS.SAP.23.GPV.G1.M,307922.0,2016
Maldives,MDV,"Population, total",SP.POP.TOTL,417492.0,2016
Guinea,GIN,Theoretical duration of primary education (years),SE.PRM.DURS,6.0,2016
Haiti,HTI,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,4.0,2016
Honduras,HND,"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,9.80000019073486,2016
Myanmar,MMR,"Elderly literacy rate, population 65+ years, both sexes (%)",UIS.LR.AG65,58.1954,2016
Myanmar,MMR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,5305.04713749719,2016
Myanmar,MMR,"Illiterate population, 25-64 years, % female",UIS.ILLPOPF.AG25T64,59.81494,2016
"Bahamas, The",BHS,"Population of the official age for post-secondary non-tertiary education, both sexes (number)",UIS.SAP.4,5891.0,2016
"Bahamas, The",BHS,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,51.0428594797972,2016
Belarus,BLR,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,93732.0,2016
Belarus,BLR,"Population of the official entrance age to secondary general education, female (number)",UIS.SAP.23.GPV.G1.F,44649.0,2016
